DOI,Titel,Feld,Thema,HMD
10.1364/BOE.9.002825,Real-time visualization and interaction with static and live optical coherence tomography volumes in immersive virtual reality,Medizin,Visualisation,HTC Vive
10.4218/etrij.2017-0166,Expanded Exit-Pupil Holographic Head-Mounted Display With High-Speed Digital Micromirror Device,Hardwareentwicklung und Evaluation,Hardware development,
10.1142/S1793962318400020,Flexible visualization framework for head-mounted display with gesture interaction interface,Softwareentwicklung,Visualisation,Oculus Rift
10.14257/ijgdc.2018.11.6.09,System for Evaluating Elements of VR Content that Cause Motion Sickness,Softwareentwicklung,Cybersickness / Fatigue,
10.1007/s10822-018-0123-0,Touching proteins with virtual bare hands,Softwareentwicklung,Visualisation,
10.1109/TPC.2018.2804238,"Understanding Virtual Reality: Presence, Embodiment, and Professional Practice",VR Allgemein,Image of VR / Use of VR,
10.1109/TBC.2018.2811627,Subjective Panoramic Video Quality Assessment Database for Coding Applications,Softwareentwicklung,Visual perception,
10.1371/journal.pone.0195886,The search for instantaneous vection: An oscillating visual prime reduces vection onset latency,Softwareentwicklung,Movement / Navigation,
10.1111/desc.12557,The development of bodily self-consciousness: changing responses to the Full Body Illusion in childhood,Psychology,Body Illusion,
10.1016/j.joms.2017.10.002,Effectiveness of Immersive Virtual Reality in Surgical Training-A Randomized Control Trial,Medizin,Training,Oculus Rift
10.1002/cav.1812,Effects of interface on procedural skill transfer in virtual training: Lifeboat launching operation study,Ingenieurwesen / Physik,Training,Oculus Rift DK2
10.1002/cav.1830,"Evaluating enjoyment, presence, and emulator sickness in VR games based on first- and third- person viewing perspectives",Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1016/j.cag.2017.11.007,"Presence and cybersickness in immersive content: Effects of content type, exposure time and gender",Psychology,Presence,
10.1109/TVCG.2018.2793698,NotifiVR: Exploring Interruptions and Notifications in Virtual Reality,Softwareentwicklung,Effect of Immersion,
10.1109/TVCG.2018.2794629,"The Impact of Avatar Personalization and Immersion on Virtual Body Ownership, Presence, and Emotional Response",Psychology,Body Illusion,
10.1145/3229316.3229320,WHEN MIXED REALITY MEETS INTERNET OF THINGS: Toward the Realization of Ubiquitous Mixed Reality,VR Allgemein,Image of VR / Use of VR,
10.1093/comjnl/bxx117,Visual Exploration of 3D Geospatial Networks in a Virtual Reality Environment,Softwareentwicklung,Visualisation,Ocuslus Rift
10.1016/j.chb.2017.11.033,Navigation in virtual environments using head-mounted displays: Allocentric vs. egocentric behaviors,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1016/j.fusengdes.2018.02.031,Preliminary realization of immersive EAST system using virtual reality,Ingenieurwesen / Physik,Model design,HTC Vive
10.1007/s10055-017-0313-4,Evaluation of visual feedback techniques for virtual grasping with bare hands using Leap Motion and Oculus Rift,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Oculus Rift
10.1007/s10055-017-0316-1,Control mapping in virtual reality: effects on spatial presence and controller naturalness,Hardwareentwicklung und Evaluation,Presence,
10.5195/ijt.2018.6250,"SAFETY AND FEASIBILITY OF A FIRST-PERSON VIEW, FULL-BODY INTERACTION GAME FOR TELEREHABILITATION POST-STROKE",Medizin,Rehabilitation / Treatment,Oculus Rift
10.3390/computers7010015,Users' Perceptions Using Low-End and High-End Mobile-Rendered HMDs: A Comparative Study,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1111/tra.12538,Journey to the centre of the cell: Virtual reality immersion into scientific data,Biologie / Chemie,Visualisation,
10.14257/ijgdc.2018.11.2.09,Analysis of a Quality Evaluation Model for VR Contents,VR Allgemein,Cybersickness / Fatigue,
10.1007/s11036-017-0834-9,Consumer-oriented Head Mounted Displays: Analysis and Evaluation of Stereoscopic Characteristics and User Preferences,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1007/s11548-017-1686-2,Highly immersive virtual reality laparoscopy simulation: development and future aspects,Medizin,Model design,
10.1109/TVCG.2017.2653117,Effects of Different Types of Virtual Reality Display on Presence and Learning in a Safety Training Scenario,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1364/OE.26.001161,Integrated 3D display and imaging using dual purpose passive screen and head-mounted projectors and camera,Hardwareentwicklung und Evaluation,Hardware development,
10.1177/1729881417751545,Application of virtual reality in teleoperation of the military mobile robotic system TAROS,Hardwareentwicklung und Evaluation,Remote Control / Digital Twin,Oculus Rift
10.3788/YJYXS20183301.0085,Panoramic video display quality assessment based on HTC Vive,,,
10.1089/g4h.2017.0114,"Comparison of Oculus Rift and HTC Vive: Feasibility for Virtual Reality-Based Exploration, Navigation, Exergaming, and Rehabilitation",Hardwareentwicklung und Evaluation,Evaluation of VR systems,HTC Vive & Oculus Rift
10.1080/21681163.2017.1343687,Design of adaptive control and virtual reality-based fine hand motion rehabilitation system and its effects in subacute stroke patients,Medizin,Rehabilitation / Treatment,Oculus Rift DK2
10.1080/08824096.2018.1525349,Ways of Seeing Matter: The Impact of a Naturally Mapped Perceptual System on the Persuasive Effects of Immersive Virtual Reality Advertising,Retail / Marketing,Perception of prodcuts / Advertisement,
10.3233/VES-190650,A virtual reality head stability test for patients with vestibular dysfunction,Medizin,Rehabilitation / Treatment,Oculus Rift
10.3991/ijoe.v13i08.7371,An Educational Physics Laboratory in Mobile Versus Room Scale Virtual Reality - A Comparative Study,Hardwareentwicklung und Evaluation,Evaluation of VR systems,Samsung GEAR & HTC Vive
10.5277/ABB-01082-2018-02,Balance disturbances coefficient as a new value to assess ability to maintain balance on the basis of FFT curves,Human Biology,Balance,Oculus Rift
10.1108/ILS-07-2018-0069,Virtual reality learning environments Development of multi-user reference support experiences,Softwareentwicklung,Collaboration,HTC Vive
10.1080/10447318.2017.1412144,Body Movement Reduces Pain Intensity in Virtual Reality-Based Analgesia,Medizin,Perception of Pain / Discomfort,Oculus Rift
10.1162/netn_a_00044,NeuroCave: A web-based immersive visualization platform for exploring connectome datasets,Softwareentwicklung,Visualisation,
10.1109/ACCESS.2018.2864872,A Framework for Assessing Spatial Presence of Omnidirectional Video on Virtual Reality Device,VR Allgemein,Presence,
10.1080/10447318.2017.1411665,Spatialized Vibrotactile Feedback Improves Goal-Directed Movements in Cluttered Virtual Environments,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Oculus Rift DK2
10.17398/1695-288X.17.1.61,Assessment of a History educational video game. The student's opinion,,,
10.18494/SAM.2018.1912,Effect of Social Facilitation without Presence of Others on Swallowing Function and Eating Behavior,Psychology,Presence,
10.1007/s41064-020-00106-z,Stuttgart City Walk: A Case Study on Visualizing Textured DSM Meshes for the General Public Using Virtual Reality,Softwareentwicklung,Visualisation,HTC Vive
10.1007/s10916-020-01550-5,VR4Health: Personalized teaching and learning anatomy using VR,Softwareentwicklung,Training,
10.1007/s10055-020-00432-y,Revisiting affordance perception in contemporary virtual reality,Psychology,Visual perception,HTC Vive
10.1002/pmrj.12206,Upper Extremity Rehabilitation Using Fully Immersive Virtual Reality Games With a Head Mount Display: A Feasibility Study,Medizin,Rehabilitation / Treatment,HTC Vive
10.1016/j.aap.2019.105356,Road crossing decisions in real and virtual environments: A comparative study on simulator validity,Psychology,Visual perception,Oculus Rift DK2
10.1109/TMM.2019.2933338,Realistic Facial Expression Reconstruction for VR HMD Users,Softwareentwicklung,Measurement of body functions,
10.1109/TMM.2019.2931807,Optimizing Fixation Prediction Using Recurrent Neural Networks for 360 degrees Video Streaming in Head-Mounted Virtual Reality,Softwareentwicklung,Software development,
10.1016/j.archger.2019.104004,Visual dependence affects the motor behavior of older adults during the Timed Up and Go (TUG) test,Medizin,Rehabilitation / Treatment,Ocukus Rift DK2
10.1016/j.ijhcs.2020.102413,Extending Fitts' law in three-dimensional virtual environments with current low-cost virtual reality technology,Ergonomie,Haptics / Physical interaction,Oculus Rift CV1
10.1016/j.ijhcs.2020.102414,Comparing selection mechanisms for gaze input techniques in head-mounted displays,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,Google Pixel phone with Google Daydream VR
10.1007/s10055-019-00401-0,Don't make me sick: investigating the incidence of cybersickness in commercial virtual reality headsets,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,Oculus Rift & HTC Vive
10.1016/j.chb.2020.106295,Restoration in a virtual reality forest environment,Psychology,Effect of Immersion,
10.3758/s13428-019-01336-9,Size and shape constancy in consumer virtual reality,Hardwareentwicklung und Evaluation,Visual perception,Oculus Rift & HTC Vive
10.1007/s00104-020-01188-6,Extended reality technologies for support of surgical workflows,,,
10.1007/s10639-019-10050-0,An immersive virtual reality educational intervention on people with autism spectrum disorders (ASD) for the development of communication skills and problem solving,Psychology,Rehabilitation / Treatment,
10.1109/MCSE.2020.2972822,Augmented and Virtual Reality in Surgery,Medizin,Image of VR / Use of VR,
10.1007/s11042-019-08390-7,Viewport-adaptive 360-degree video coding,Softwareentwicklung,Software development,
10.1016/j.ipm.2019.102105,Evaluating the use of interactive virtual reality technology with older adults living in residential aged care,Psychology,Collaboration / Interaction,
10.1016/j.isprsjprs.2020.03.007,Interactive dense point clouds in a game engine,Softwareentwicklung,Software development,
10.1109/TVCG.2020.2973473,DGaze: CNN-Based Gaze Prediction in Dynamic Scenes,Softwareentwicklung,Software development,
10.1109/TVCG.2020.2973498,Mind the Gap: The Underrepresentation of Female Participants and Authors in Virtual Reality Research,VR Allgemein,Image of VR / Use of VR,
10.1109/TVCG.2020.2973442,Eye-dominance-guided Foveated Rendering,Softwareentwicklung,Software development,
10.1109/TVCG.2020.2973075,Using Facial Animation to Increase the Enfacement Illusion and Avatar Self-Identification,Softwareentwicklung,Body Illusion,
10.1109/TVCG.2020.2973441,EarVR: Using Ear Haptics in Virtual Reality for Deaf and Hard-of-Hearing People,Hardwareentwicklung und Evaluation,Hardware development,
10.1109/TVCG.2020.2973053,Toward Standardized Classification of Foveated Displays,Softwareentwicklung,Software development,
10.1007/s00445-020-01376-6,"Real world-based immersive Virtual Reality for research, teaching and communication in volcanology",Volcanology,Visualisation,
10.1111/bjet.12946,Immersive virtual field trips and elementary students' perceptions,Bildungswesen,Image of VR / Use of VR,
10.1002/col.22509,Discomfort luminance level of head-mounted displays depending on the adapting luminance,Human Biology,Visual perception,
10.3389/fnins.2020.00357,Visuomotor Transformation for the Lead Leg Affects Trail Leg Trajectories During Visually Guided Crossing Over a Virtual Obstacle in Humans,Ergonomie,Movement / Navigation,PlayStation VR
10.1007/s10055-020-00433-x,"Motivations, design, and preliminary testing for a 360 degrees vision simulator",Softwareentwicklung,Software development,
10.1080/09588221.2020.1752735,The impact of a virtual reality app on adolescent EFL learners' vocabulary learning,Bildungswesen,Training,
10.1186/s12984-020-00678-2,Transfer of motor skill between virtual reality viewed using a head-mounted display and conventional screen environments,Ergonomie,Haptics / Physical interaction,Oculus Rift DK2
10.1007/s10055-020-00440-y,"Virtual experience, real consequences: the potential negative emotional consequences of virtual reality gameplay",Psychology,Effect of Immersion,HTC Vive
10.1109/TASE.2019.2945607,Virtual Reality Robot-Assisted Welding Based on Human Intention Recognition,Ingenieurwesen / Physik,Remote Control / Digital Twin,HTC Vive
10.1177/1470412920906260,Empathy for the game master: how virtual reality creates empathy for those seen to be creating VR,Psychology,Emotions / Empathy,Oculus Rift
10.1007/s11548-020-02126-x,Simulation of scattered radiation during intraoperative imaging in a virtual reality learning environment,Medizin,Software development,
10.1016/j.apergo.2019.103010,"The effects of target location on musculoskeletal load, task performance, and subjective discomfort during virtual reality interactions",Ergonomie,Haptics / Physical interaction,Oculus Rift
10.1007/s12262-020-02131-z,Virtual Operating Room Simulation Setup (VORSS) for Procedural Training in Minimally Invasive Surgery - a Pilot Study,Medizin,Training,Oculus Rift
10.3390/app10062026,"Encoding, Exchange and Manipulation of Captured Immersive VR Sessions for Learning Environments: the PRISMIN Framework",Softwareentwicklung,Software development,
10.3390/info11030134,Design of a 3D Platform for Immersive Neurocognitive Rehabilitation,Medizin,Rehabilitation / Treatment,HTC Vive
10.1016/j.ergon.2020.102939,"Usability of the size, spacing, and operation method of virtual buttons with virtual hand on head-mounted displays",Ergonomie,Haptics / Physical interaction,Oculus Rift
10.3390/app10051668,GazeGuide: An Eye-Gaze-Guided Active Immersive UAV Camera,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.1163/22134808-20201445,How Much of What We Learn in Virtual Reality Transfers to Real-World Navigation?,Bauwesen / Architektur,Movement / Navigation,HTC Vive
10.1007/s10846-019-01054-6,Head-synced Drone Control for Reducing Virtual Reality Sickness,Softwareentwicklung,Control of VR / Human-Computer Interface,
10.1016/j.jhtm.2020.02.003,Impact of VR on impulsive desire for a destination,Psychology,Perception of prodcuts / Advertisement,
10.1007/s00464-019-06862-3,Effectiveness of the HoloLens mixed-reality headset in minimally invasive surgery: a simulation-based feasibility study,,,
10.3837/tiis.2020.02.020,Effect Analysis of Virtual-reality Vestibular Rehabilitation based on Eye-tracking,Softwareentwicklung,Rehabilitation / Treatment,
10.1007/s41064-020-00091-3,Preserving the Knowledge of the Past Through Virtual Visits: From 3D Laser Scanning to Virtual Reality Visualisation at the Istanbul catalca Incegiz Caves,Softwareentwicklung,Visualisation,HTC Vive
10.1007/s10055-019-00411-y,Level of immersion affects spatial learning in virtual environments: results of a three-condition within-subjects study with long intersession intervals,Hardwareentwicklung und Evaluation,Visual perception,nVisor ST50 & Oculus Rift CV1
10.1002/cav.1920,Sketch-based shape-constrained fireworks simulation in head-mounted virtual reality,Softwareentwicklung,Model design,
10.3389/frobt.2020.00020,Audio in VR: Effects of a Soundscape and Movement-Triggered Step Sounds on Presence,VR Allgemein,Perception of Sound,
10.1089/g4h.2019.0102,Studying the Effect of Display Type and Viewing Perspective on User Experience in Virtual Reality Exergames,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1007/s00779-020-01373-8,Design methodology for 360 degrees immersive video applications: the case study of a cultural heritage virtual tour,Softwareentwicklung,Model design,
10.1016/j.buildenv.2019.106544,Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment,Bauwesen / Architektur,Visual perception,
10.3390/app10041427,Exocentric Distance Judgment and Accuracy of Head-Mounted and Stereoscopic Widescreen Displays in Frontal Planes,Hardwareentwicklung und Evaluation,Visual perception,HTC Vive
10.3390/s20041204,Embodiment Is Related to Better Performance on a Brain-Computer Interface in Immersive Virtual Reality: A Pilot Study,Hardwareentwicklung und Evaluation,Body Illusion,
10.1016/j.encep.2019.09.002,Feasibility study of therapeutic exposure in virtual reality for pathological gamblers,,,
10.1007/s11042-019-7331-z,Crossmodal perception in virtual reality,VR Allgemein,Perception of Sound,
10.1016/j.actpsy.2019.102987,The self-generated full body illusion is accompanied by impaired detection of somatosensory stimuli,Psychology,Body Illusion,
10.1016/j.tra.2019.11.008,Evaluating cyclists' perception of satisfaction using 360 degrees videos,Ingenieurwesen / Physik,Visual perception,
10.1016/j.ajo.2019.10.006,Expansion of Peripheral Visual Field with Novel Virtual Reality Digital Spectacles,Human Biology,Visual perception,
10.3389/frobt.2020.00004,Virtual Reality Is Sexist: But It Does Not Have to Be,Human Biology,Cybersickness / Fatigue,
10.3389/fpsyg.2020.00035,Gaze Behavior in Social Fear Conditioning: An Eye-Tracking Study in Virtual Reality,Psychology,Visual perception,
10.1364/OE.382804,Effect of surface roughness of optical waveguide on imaging quality and a formula of RSE tolerance and incident angle,,,
10.1109/ACCESS.2020.2988678,Identifying the Optimal 3D Display Technology for Hands-On Virtual Experiential Learning: A Comparison Study,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1109/ACCESS.2020.2983608,Real-Time Recognition of Facial Expressions Using Facial Electromyograms Recorded Around the Eyes for Social Virtual Reality Applications,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.37190/ABB-01490-2019-03,Assessment of gait stability and preferred walking speed in virtual reality,Ergonomie,Movement / Navigation,Oculus DK2
10.1109/ACCESS.2020.2972122,"Depth Perception in Virtual Reality Systems: Effect of Screen Distance, Environment Richness and Display Factors",Hardwareentwicklung und Evaluation,Visual perception,HTC Vive
10.1109/ACCESS.2020.2970921,A Comparative Study Between Wired and Wireless Virtual Reality Setups,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1109/ACCESS.2020.2977688,Eye-Contact Game Using Mixed Reality for the Treatment of Children With Attention Deficit Hyperactivity Disorder,Psychology,Rehabilitation / Treatment,
10.1109/TOH.2020.2965937,Pseudo-Sensation of Walking Generated by Passive Whole-Body Motions in Heave and Yaw Directions,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.3390/sym12010053,Asymmetric Interface: User Interface of Asymmetric Virtual Reality for New Presence and Experience,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.6017/ital.v39i1.11369,Virtual Reality A Survey of Use at an Academic Library,VR Allgemein,Image of VR / Use of VR,
10.18261/issn.1892-2686-2020-01-02,Virtual Reality non-medical treatment for patients after surgery An exploratory pilot study,,,
10.1016/j.displa.2019.08.004,A study of cybersickness and sensory conflict theory using a motion-coupled virtual reality system,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1109/MCG.2019.2936753,A Compelling Virtual Tour of the Dunhuang Cave With an Immersive Head-Mounted Display,Archv§ologie / Museen,Model design,
10.1109/TVCG.2019.2934395,The Impact of Immersion on Cluster Identification Tasks,Hardwareentwicklung und Evaluation,Visualisation,
10.1016/j.buildenv.2019.106423,The effects of spatial separations between water sound and traffic noise sources on soundscape assessment,Bauwesen / Architektur,Perception of Sound,
10.1016/j.compedu.2019.103707,A meta-analysis of virtual reality training programs for social skill development,Psychology,Training,
10.3389/fmed.2019.00287,Perception and Performance on a Virtual Reality Cognitive Stimulation for Use in the Intensive Care Unit: A Non-randomized Trial in Critically Ill Patients,Medizin,Rehabilitation / Treatment,
10.1145/3362101,Tile-based Adaptive Streaming for Virtual Reality Video,Softwareentwicklung,Software development,
10.3390/info10120386,How Do eHMIs Affect Pedestrians' Crossing Behavior? A Study Using a Head-Mounted Display Combined with a Motion Suit,Psychology,Visual perception,
10.1016/j.cag.2019.09.005,A survey of real locomotion techniques for immersive virtual reality applications on head-mounted displays,Ergonomie,Movement / Navigation,
10.1177/1550147719894533,Region of interest-based segmented tiled adaptive streaming using head-mounted display tracking sensing data,Softwareentwicklung,Software development,
10.1016/j.janxdis.2019.102147,"Changes in trauma-potentiated startle, skin conductance, and heart rate within prolonged exposure therapy for PTSD in high and low treatment responders",Psychology,Rehabilitation / Treatment,
10.1177/0018720819836343,External Human-Machine Interfaces on Automated Vehicles: Effects on Pedestrian Crossing Decisions,Psychology,Visual perception,
10.1007/s10055-018-0345-4,Haptic virtual reality and immersive learning for enhanced organic chemistry instruction,Bildungswesen,Training,
10.1177/0735633119854030,A Design Model for Using Virtual Reality in Behavioral Skills Training,Bildungswesen,Training,
10.1007/s11517-019-02070-2,Effects of virtual reality technology locomotive multi-sensory motion stimuli on a user simulator sickness and controller intuitiveness during a navigation task,Human Biology,Evaluation of VR systems,Oculus Rift CV1
10.1038/s41586-019-1687-0,Skin-integrated wireless haptic interfaces for virtual and augmented reality,Hardwareentwicklung und Evaluation,Hardware development,
10.1186/s12938-019-0731-5,Assessment of eye fatigue caused by head-mounted displays using eye-tracking,Psychology,Cybersickness / Fatigue,
10.1016/j.neuron.2019.08.012,A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain,Human Biology,Measurement of body functions,
10.2352/J.ImagingSci.Technol.2019.63.6.060409,The Impact of Radial Distortions in VR Headsets on Perceived Surface Slant,Ergonomie,Visual perception,"Google Pixel 2 XL, Wheatstone mirror stereoscope"
10.1145/3355089.3356530,The Camera Offset Space: Real-time Potentially Visible Set Computations for Streaming Rendering,Softwareentwicklung,Software development,
10.1145/3355089.3356490,Reducing Simulator Sickness with Perceptual Camera Control,Softwareentwicklung,Cybersickness / Fatigue,
10.1145/3355089.3356557,DeepFovea: Neural Reconstruction for Foveated Rendering and Video Compression using Learned Statistics of Natural Videos,Softwareentwicklung,Visual perception,
10.1145/3355089.3356517,Holographic Near-Eye Displays Based on Overlap-Add Stereograms,Softwareentwicklung,Visual perception,
10.1145/3355089.3356552,DiCE: Dichoptic Contrast Enhancement for VR and Stereo Displays,Softwareentwicklung,Visual perception,
10.1109/JBHI.2019.2892485,The Effect of Mirroring Display of Virtual Reality Tour of the Operating Theatre on Preoperative Anxiety: A Randomized Controlled Trial,Medizin,Emotions / Empathy / Fear,
10.3390/app9214652,The Effects of Augmented Reality Interaction Techniques on Egocentric Distance Estimation Accuracy,,,
10.1109/TVCG.2019.2932239,ReconViguRation: Reconfiguring Physical Keyboards in Virtual Reality,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,HTC Vive Pro
10.1109/TVCG.2019.2932215,Face/On: Multi-Modal Haptic Feedback for Head-Mounted Displays in Virtual Reality,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1109/TVCG.2019.2932173,Conveying spatial awareness cues in xR collaborations,,,
10.3389/frobt.2019.00104,"How Foot Tracking Matters: The Impact of an Animated Self-Avatar on Interaction, Embodiment and Presence in Shared Virtual Environments",Softwareentwicklung,Body Illusion,
10.1002/adom.201901360,Practical Chromatic Aberration Correction in Virtual Reality Displays Enabled by Cost-Effective Ultra-Broadband Liquid Crystal Polymer Lenses,Hardwareentwicklung und Evaluation,Hardware development,
10.3758/s13428-019-01310-5,NavWell: A simplified virtual-reality platform for spatial navigation and memory experiments,Psychology,Model design,
10.3389/fmars.2019.00644,"Virtual Reality and Oceanography: Overview, Applications, and Perspective",Biologie / Chemie,Visualisation,
10.3389/fneur.2019.01061,Embodiment and Presence in Virtual Reality After Stroke. A Comparative Study With Healthy Subjects,Medizin,Body Illusion,
10.1080/10447318.2018.1541546,Selecting Menu Items in Mobile Head-Mounted Displays: Effects of Selection Technique and Active Area,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1016/j.humov.2019.102515,Goal-directed aiming under restricted viewing conditions with confirmatory sensory feedback,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Sensics zSight
10.1249/MSS.0000000000002016,Interactive Virtual Reality Reduces Quadriceps Pain during High-Intensity Cycling,Medizin,Perception of Pain / Discomfort,
10.1177/0031512519857869,Using Virtual Reality to Study Subjective Time in Crowded Versus Uncrowded Environments,Psychology,Visual perception,
10.1016/j.neuroimage.2019.06.010,Towards OPM-MEG in a virtual reality environment,Human Biology,Measurement of body functions,
10.1145/3329119,"A Survey on 360 degrees Video Streaming: Acquisition, Transmission, and Display",VR Allgemein,,
10.1142/S1793351X19400166,Efficient Live and On-Demand Tiled HEVC 360 VR Video Streaming,Softwareentwicklung,Software development,Gear VR
10.1016/j.buildenv.2019.106278,Developing an Innovative Method for Visual Perception Evaluation in a Physical-Based Virtual Environment,Bauwesen / Architektur,Visual perception,HTC Vive
10.1109/MCE.2019.2923934,Motorcycle Head-Up Display: Design of Presenting Navigation Information,,,
10.1007/s00415-019-09370-5,Fear of heights in virtual reality saturates 20 to 40 m above ground,Psychology,Emotions / Empathy / Fear,"Oculus Rift, CV1"
10.1097/PHM.0000000000001190,Immersive Virtual Reality Mirror Therapy for Upper Limb Recovery After Stroke A Pilot Study,Medizin,Rehabilitation / Treatment,
10.1016/j.landurbplan.2019.05.006,The influence of landmarks and urban form on cognitive maps using virtual reality,Bauwesen / Architektur,Movement / Navigation,
10.3138/cjfs.28.1.2019-0012,THE SUBJECTIVE MACHINE? THE CINEMATOGRAPHIC APPROPRIATIONS OF CONTEMPORARY IMMERSIVE DEVICES,,,
10.3390/app9163384,A Subjective Study on User Perception Aspects in Virtual Reality,Softwareentwicklung,Visual perception,
10.1145/3335053,6K and 8K Effective Resolution with 4K HEVC Decoding Capability for 360 Video Streaming,Softwareentwicklung,Visual perception,
10.1080/0144929X.2019.1641228,Reality-based interaction affecting mental workload in virtual reality mental arithmetic training,Bildungswesen,Evaluation of VR systems,
10.1111/sms.13453,"Effects of music, video, and 360-degree video on cycle ergometer exercise at the ventilatory threshold",Medizin,Perception of Pain / Discomfort,
10.1111/ejn.14499,Vection in virtual reality modulates vestibular-evoked myogenic potentials,Medizin,Cybersickness / Fatigue,
10.3390/s19143063,HiFinger: One-Handed Text Entry Technique for Virtual Environments Based on Touches between Fingers,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.3390/su11143894,"Contextualization of Archaeological Information Using Augmented Photospheres, Viewed with Head-Mounted Displays",Archv§ologie / Museen,Visualisation,
10.1021/acs.jchemed.8b00905,Bug Off Pain: An Educational Virtual Reality Game on Spider Venoms and Chronic Pain for Public Engagement,Bildungswesen,Model design,
10.1016/j.appdev.2019.101052,"Virtual reality's effect on children's inhibitory control, social compliance, and sharing",Psychology,Behaviour,
10.1111/cgf.13780,Tessellated Shading Streaming,Softwareentwicklung,Software development,
10.1016/j.jbusres.2018.10.054,The influence of virtual reality in e-commerce,Retail / Marketing,Perception of prodcuts / Advertisement,HTC Vive
10.3390/computers8020039,Diffusion of Innovation: Case of Co-Design of Cabins in Mobile Work Machine Industry,VR Allgemein,Image of VR / Use of VR,
10.1038/s41433-019-0356-8,Using smartphone-delivered stereoscopic vision in microsurgery: a feasibility study,Medizin,Remote Control / Digital Twin,
10.1007/s00170-018-03237-1,2.5DHANDS: a gesture-based MR remote collaborative platform,Manufacturing,Collaboration / Interaction,
10.1007/s10055-018-0370-3,VR aftereffect and the relation of cybersickness and cognitive performance,Psychology,Cybersickness / Fatigue,
10.1016/j.cognition.2019.03.003,Sensorimotor contingency modulates breakthrough of virtual 3D objects during a breaking continuous flash suppression paradigm,Psychology,Haptics / Physical interaction,
10.1080/10548408.2019.1618781,Integrating virtual reality devices into the body: effects of technological embodiment on customer engagement and behavioral intentions toward the destination,Retail / Marketing,Perception of prodcuts / Advertisement,
10.3389/fpubh.2019.00116,Behavioral Counseling Training for Primary Care Providers: Immersive Virtual Simulation as a Training Tool,Psychology,Training,
10.1093/pm/pny269,Characteristics of Phantom Limb Pain Alleviated with Virtual Reality Rehabilitation,Medizin,Perception of Pain / Discomfort,
10.1002/cav.1882,Virtual titration laboratory experiment with differentiated instruction,Bildungswesen,Training,HTC Vive
10.1111/cgf.13654,Near-Eye Display and Tracking Technologies for Virtual and Augmented Reality,Hardwareentwicklung und Evaluation,Image of VR / Use of VR,
10.3390/app9091919,The Effect of Retinal Eccentricity on Visually Induced Motion Sickness and Postural Control,Human Biology,Cybersickness / Fatigue,
10.1007/s10339-019-00903-4,The choice of intrinsic axis under multi-cue conditions,Psychology,Visual perception,
10.1109/TDSC.2018.2800048,GaitLock: Protect Virtual and Augmented Reality Headsets Using Gait,Hardwareentwicklung und Evaluation,Security,
10.1109/TVCG.2019.2898736,RingText: Dwell-free and hands-free Text Entry for Mobile Head-Mounted Displays using Head Motions,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1109/TVCG.2019.2898763,Immersive Virtual Colonoscopy,Medizin,Visualisation,
10.1016/j.jretconser.2019.02.016,"The examination of virtual reality at the intersection of consumer experience, shopping journey and physical retailing",Retail / Marketing,Perception of prodcuts / Advertisement,
10.1080/10447318.2018.1484054,Comparison of Gaze Cursor Input Methods for Virtual Reality Devices,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.30773/pi.2019.02.08,Joint Attention Virtual Classroom: A Preliminary Study,Psychology,Collaboration / Interaction,
10.1109/JPROC.2019.2894817,"Scalable 360 degrees Video Stream Delivery: Challenges, Solutions, and Opportunities",Softwareentwicklung,Software development,
10.1016/j.learninstruc.2017.12.007,Adding immersive virtual reality to a science lab simulation causes more presence but less learning,Bildungswesen,Training,
10.1016/j.socec.2019.02.007,Goggles in the lab: Economic experiments in immersive virtual environments,Psychology / Human factors,Behaviour,
10.3390/app9061182,Holographic Three-Dimensional Virtual Reality and Augmented Reality Display Based on 4K-Spatial Light Modulators,Hardwareentwicklung und Evaluation,Hardware development,
